lat,lon,soil,
27.55455128,111.6816512,paddy field,
29.80785591,106.3836932,rainfed cropland,
29.40847,106.54745,rainfed cropland,
28.75280943,104.6405977,rainfed cropland,
39.58062837,114.7785612,rainfed cropland,
39.38312816,114.6894136,rainfed cropland,
38.987661,116.0757201,rainfed cropland,
25.77492335,113.0077572,paddy field,
36.47466523,114.4324516,rainfed cropland,
36.78030719,118.0763324,rainfed cropland,
25.35371097,105.1061866,rainfed cropland,
38.804464,115.729653,rainfed cropland,
27.25,112.583333,rainfed cropland,
29.65,111.083333,rainfed cropland,
29.633333,111.133333,rainfed cropland,
29.816667,111.233333,rainfed cropland,
31.02621553,109.3801733,rainfed cropland,
29.86541765,107.7277939,rainfed cropland,
28.65023605,121.2591638,paddy field,
24.40385019,111.5665011,paddy field,
26.42061323,111.6186613,paddy field,
29.20542665,106.147063,paddy field,
27.46727457,103.1537102,paddy field,
29.24854782,121.7146461,paddy field,
30.69670665,111.2853077,paddy field,
29.87250493,121.5256867,paddy field,
28.22187,110.2266,paddy field,
28.94000373,118.8768601,paddy field,
29.59187815,120.8214906,paddy field,
27.99710452,120.6836871,paddy field,
30.28232635,120.1690776,paddy field,
29.86459971,121.5370414,paddy field,
30.8949172,120.0894136,paddy field,
30.9255214,113.9240864,paddy field,
39.90050032,116.4125073,rainfed cropland,
36.54669527,104.1359672,rainfed cropland,
23.029601,113.1179634,rainfed cropland,
36.85688365,118.8173713,rainfed cropland,
25.05997523,118.1841392,rainfed cropland,
31.65426564,120.7582958,paddy field,
24.87506019,118.6794619,paddy field,
34.27256928,108.0840626,rainfed cropland,
26.544472,112.545972,paddy field,
26.615167,112.621583,paddy field,
26.544472,112.621583,paddy field,
26.615167,112.545972,paddy field,
25.7160624,116.7685717,paddy field,
25.07568214,117.0201831,paddy field,
24.51728967,117.6446872,paddy field,
26.07412275,119.2909069,paddy field,
24.87537166,118.6729388,paddy field,
26.64145631,118.1782108,paddy field,
25.45376967,119.0114421,paddy field,
26.66643959,119.550475,paddy field,
31.03897156,112.200633,paddy field,
30.27303609,109.4983127,paddy field,
24.06796181,104.0609401,rainfed cropland,
39.96731,116.33451,rainfed cropland,
28.25182,113.08755,paddy field,
19.98849761,110.3512308,paddy field,
30.30541358,103.6860364,paddy field,
27.27396278,114.7085599,paddy field,
21.49575,109.43916,paddy field,
26.574797,112.598167,paddy field,
25.583333,113,paddy field,
29.633333,110.016667,paddy field,
24.71968891,107.6089016,paddy field,
30.03037222,120.853276,paddy field,
38.798056,115.736111,rainfed cropland,
31.466667,112.25,paddy field,
39.27520987,110.2336183,rainfed cropland,
39.27517665,110.2337899,rainfed cropland,
28.399,113.017,paddy field,
23.04413377,112.4759498,paddy field,
26.42001977,112.4101397,paddy field,
27.24034241,111.4641783,paddy field,
28.16356192,113.6436133,paddy field,
26.30628001,112.0044812,paddy field,
29.158889,119.388056,rainfed cropland,
25.883333,113.233333,paddy field,
38.88000448,115.4740025,rainfed cropland,
29.656389,111.035556,paddy field,
37.42549154,112.5511148,rainfed cropland,
25.815139,113.102922,paddy field,
26.89317541,112.5632938,rainfed cropland,
28.59,116.3,paddy field,
30.27876857,120.1539714,paddy field,
42.48989656,124.0465514,rainfed cropland,
36.09835098,114.3852987,rainfed cropland,
30.41151765,104.5483565,rainfed cropland,
30.04230505,115.9267967,rainfed cropland,
28.25885073,117.0737415,paddy field,
23.42422876,113.1272703,paddy field,
25.74377634,113.7554453,paddy field,
29.65966491,111.0445561,paddy field,
22.91491511,88.39007533,paddy field,
23.2472582,88.43744365,paddy field,
24.25063727,88.24285684,paddy field,
23.94178068,88.25115823,paddy field,
23.46306841,88.33044279,paddy field,
23.06021756,88.52985183,paddy field,
22.93602428,88.73258689,paddy field,
22.96172562,88.56463304,paddy field,
23.07479694,88.53019072,paddy field,
23.0191696,88.58442403,paddy field,
22.79051984,88.68088107,paddy field,
-1.958921934,-79.91784162,paddy field,
27.00593482,118.3041157,paddy field,
30.53686378,105.5930164,rainfed cropland,
50.21100334,-5.270804862,rainfed cropland,
50.23315383,-5.121563302,rainfed cropland,
50.18492363,-5.349220371,rainfed cropland,
50.23265093,-5.295069903,rainfed cropland,
68.25,25.9,rainfed cropland,
40.10968984,-6.365034275,rainfed cropland,
40.06766446,-5.705854619,rainfed cropland,
39.64175507,-6.766035232,rainfed cropland,
39.66290185,-6.123335068,rainfed cropland,
39.34502141,-6.601240318,rainfed cropland,
39.43417447,-5.530073378,rainfed cropland,
-33.01651086,115.7190747,rainfed cropland,
-34.46112613,116.3595506,rainfed cropland,
-34.81331128,117.9114309,rainfed cropland,
-34.8527936,118.1567761,rainfed cropland,
-37.97685058,142.2118525,rainfed cropland,
-38.35863582,145.9516609,rainfed cropland,
41.15676214,-6.389855543,rainfed cropland,
41.08020393,-6.145409754,rainfed cropland,
40.88530325,-6.557397039,rainfed cropland,
40.62731971,-5.942162693,rainfed cropland,
40.37139397,-6.713142846,rainfed cropland,
44.70037864,-93.41870149,rainfed cropland,
33.92569141,-84.45385818,rainfed cropland,
31.5603914,-96.05542011,rainfed cropland,
46.30187361,-122.6862782,rainfed cropland,
43.81759493,125.3371808,rainfed cropland,
32.06277093,118.7871245,paddy field,
28.26286523,117.0773711,paddy field,
45.50479602,-73.56788901,rainfed cropland,
45.50897371,-73.57595583,rainfed cropland,
50.55150327,-4.141171508,rainfed cropland,
39.97434301,-82.93947393,rainfed cropland,
40.02280916,-82.98054382,rainfed cropland,
45.13455448,7.535174056,rainfed cropland,
52.52262161,18.55747022,rainfed cropland,
27.76680933,-81.78121009,rainfed cropland,
-33.49282713,149.1780646,rainfed cropland,
54.5242479,-2.256100814,rainfed cropland,
54.04617276,-0.68211821,rainfed cropland,
52.91154821,-1.0532198,rainfed cropland,
51.69884094,-2.01296529,rainfed cropland,
51.98346664,0.57194923,rainfed cropland,
8.215818874,99.89963277,paddy field,
8.256038324,99.84300067,paddy field,
